network,seed,pruning_level,method,achieved_sparsity,total_params,test_loss,test_acc,min_h1_degree,min_h2_degree,min_output_in_degree,any_disconnected_neuron,log10_total_paths,min_paths_to_a_class,spectral_radius,algebraic_connectivity
Balanced,4,0.9,random,0.8999997659526663,855050,2.308661442184448,0.1029,293,15,26,False,6.419431471560565,202388.0,1.733544297448899,-3.4238602667147915
FrontLoaded,0,0.0,baseline,0.0,855010,1.3473327745437622,0.52,3162,280,90,False,8.873027484957786,74649600.0,12.488803161281309,-25.73781873249525
FrontLoaded,0,0.2,magnitude,0.2,855010,1.3546026241302491,0.5164,2296,213,69,False,8.627976403766061,38321086.0,12.461768412357312,-25.66766116505448
FrontLoaded,0,0.2,random,0.2,855010,1.6980371925354003,0.3938,2447,210,66,False,8.58207742041003,34895193.0,10.098933096036715,-20.183467527250965
FrontLoaded,0,0.4,magnitude,0.4,855010,1.398946379852295,0.5006,1461,155,43,False,8.301714149978567,14023815.0,12.26414184757261,-26.357336053646293
FrontLoaded,0,0.4,random,0.4,855010,1.9660932834625244,0.2973,1793,145,50,False,8.214598632838582,14781324.0,7.733457585596561,-16.06058790926256
FrontLoaded,0,0.6,magnitude,0.6,855010,1.5603375469207763,0.4329,733,89,30,False,7.8285010793854335,4642866.0,11.692645252049278,-25.59736915424047
FrontLoaded,0,0.6,random,0.6,855010,2.189057293701172,0.1906,1193,88,30,False,7.6745213399729515,3928956.0,5.376477346480147,-12.02552027054899
FrontLoaded,0,0.8,magnitude,0.8,855010,2.0297419254302977,0.2707,183,18,11,False,6.968726178736218,417179.0,10.372284557236721,-22.777426323341928
FrontLoaded,0,0.8,random,0.8,855010,2.2976982566833497,0.1014,567,40,15,False,6.822117386918141,499132.0,3.069581813109147,-5.4635912510186495
FrontLoaded,0,0.9,magnitude,0.9,855010,2.2511125385284423,0.1801,21,2,4,False,6.082038891186371,43119.0,8.968196602269286,-21.027018884847887
FrontLoaded,0,0.9,random,0.9,855010,2.3165713912963866,0.1,273,17,6,False,5.994680452791239,53515.0,1.922154400235769,-3.2618366000636185
FrontLoaded,1,0.0,baseline,0.0,855010,1.3388758052825929,0.5224,3162,280,90,False,8.873027484957786,74649600.0,13.31530486030203,-23.633010610459667
FrontLoaded,1,0.2,magnitude,0.2,855010,1.339840432548523,0.5241,2340,213,68,False,8.624617201625462,37852322.0,13.287227767729505,-23.70685263593621
FrontLoaded,1,0.2,random,0.2,855010,1.6750698850631713,0.4207,2474,204,64,False,8.574456237509377,33801632.0,10.779057948855286,-18.966047469499657
FrontLoaded,1,0.4,magnitude,0.4,855010,1.3865857152938843,0.5042,1548,147,51,False,8.297054878024865,16668472.0,13.078200319750218,-22.76532705947689
FrontLoaded,1,0.4,random,0.4,855010,1.9493657106399536,0.3154,1828,150,45,False,8.200379925291193,13450202.0,8.21584828130717,-14.452925538009307
FrontLoaded,1,0.6,magnitude,0.6,855010,1.5934148723602295,0.4295,825,80,38,False,7.818932736274877,5739441.0,12.433123680476303,-23.526607317035023
FrontLoaded,1,0.6,random,0.6,855010,2.176836552429199,0.2032,1185,94,29,False,7.66365365914268,3859864.0,5.625984135667191,-10.077819447144632
FrontLoaded,1,0.8,magnitude,0.8,855010,2.0340873510360717,0.2685,206,15,14,False,6.936295233372591,533894.0,10.787509275919994,-21.642759689060302
FrontLoaded,1,0.8,random,0.8,855010,2.297008556365967,0.1021,577,41,10,False,6.750101834571146,339086.0,3.038608050444747,-5.41328210881437
FrontLoaded,1,0.9,magnitude,0.9,855010,2.346767342376709,0.1781,30,2,5,False,6.07031092425703,35027.0,8.907650482804979,-22.986990755830153
FrontLoaded,1,0.9,random,0.9,855010,2.312851075744629,0.1,271,18,7,False,6.005263758605436,57012.0,1.7998573091398973,-2.9656301064878776
FrontLoaded,2,0.0,baseline,0.0,855010,1.3456420988082887,0.5271,3162,280,90,False,8.873027484957786,74649600.0,12.958221197184157,-19.54316066078124
FrontLoaded,2,0.2,magnitude,0.2,855010,1.3507509492874146,0.5231,2283,213,70,False,8.622767631752044,38732832.0,12.923512971276569,-19.163634755268628
